what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1401296222691
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1401296222699
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1401296222710
started,bundle,tv.osmosys.sdk.core,2.2.1,"tv.osmosys.sdk.core",1401296222712
started,bundle,tv.osmosys.sdk.platforms,2.2.1,"tv.osmosys.sdk.platforms",1401296222713
started,bundle,tv.osmosys.sdk.ui.mhp,2.2.1,"tv.osmosys.sdk.ui.mhp",1401296222736
started,bundle,tv.osmosys.sdk.ui.tools,2.2.1,"tv.osmosys.sdk.ui.tools",1401296222747
started,bundle,tv.osmosys.sdk.util,2.2.1,"tv.osmosys.sdk.util",1401296222748
started,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1401296222763
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1401296222773
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1401296222780
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1401296222789
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1401296222804
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1401296222816
os,sysinfo,,,"win32",1401296222819
arch,sysinfo,,,"x86",1401296222819
ws,sysinfo,,,"win32",1401296222819
locale,sysinfo,,,"nl_BE",1401296222819
processors,sysinfo,,,"2",1401296222819
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1401296222819
java.runtime.version,sysinfo,,,"1.5.0_22-b03",1401296222819
java.specification.name,sysinfo,,,"Java Platform API Specification",1401296222819
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401296222819
java.specification.version,sysinfo,,,"1.5",1401296222819
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401296222819
